"id,fecha,descripcion,solicitante"
"1,2025-01-10,""Mi computadora no inicia desde ayer"",juan.perez"
"2,2025-01-10,""Necesito actualizar mi información bancaria"",maria.lopez"
"3,2025-01-10,""No puedo acceder al portal de recursos humanos"",ana.silva"
"4,2025-01-10,""La impresora de la oficina se atascó"",carlos.mendez"
"5,2025-01-10,""Solicito constancia laboral"",luis.garcia"
"6,2025-01-10,""Error crítico al abrir el sistema financiero"",sofia.vargas"
"7,2025-01-11,""El correo corporativo no sincroniza"",juan.perez"
"8,2025-01-11,""Cómo consulto mis días de vacaciones?"",maria.lopez"
"9,2025-01-11,""Bloqueo total en el sistema de nómina"",ana.silva"
"10,2025-01-11,""Factura duplicada en el sistema financiero"",carlos.mendez"
"11,2025-01-11,""Pantalla azul al iniciar la laptop"",luis.garcia"
"12,2025-01-12,""Requiero cambio de tarjeta de acceso"",sofia.vargas"
"13,2025-01-12,""Solicitud de ajuste de sueldo"",juan.perez"
"14,2025-01-12,""Error de base de datos en módulo TI"",maria.lopez"
"15,2025-01-12,""Necesito soporte con VPN"",ana.silva"
"16,2025-01-12,""Problema con depósito de salario"",carlos.mendez"
"17,2025-01-12,""Sistema de facturación no carga"",luis.garcia"
"18,2025-01-12,""Solicitud de carta patronal"",sofia.vargas"
"19,2025-01-13,""El teclado no funciona"",juan.perez"
"20,2025-01-13,""Revisión de reembolso"",maria.lopez"
"21,2025-01-13,""Computadora muy lenta"",ana.silva"
"22,2025-01-13,""Consulta sobre prestaciones"",carlos.mendez"
"23,2025-01-13,""Error 403 en sistema financiero"",luis.garcia"
"24,2025-01-13,""Restablecer contraseña"",sofia.vargas"
"25,2025-01-13,""Solicitud de alta de proveedor"",juan.perez"
"26,2025-01-14,""El monitor parpadea"",maria.lopez"
"27,2025-01-14,""Consulta de horario laboral"",ana.silva"
"28,2025-01-14,""El sistema de gastos no responde"",carlos.mendez"
"29,2025-01-14,""Solicitud de baja temporal"",luis.garcia"
"30,2025-01-14,""Actualización de software fallida"",sofia.vargas"
"31,2025-01-14,""Cargo no reconocido"",juan.perez"
"32,2025-01-14,""Problema con impresora"",maria.lopez"
"33,2025-01-14,""Gestión de pensiones"",ana.silva"
"34,2025-01-15,""VPN no conecta"",carlos.mendez"
"35,2025-01-15,""Falla en módulo de ventas"",luis.garcia"
"36,2025-01-15,""Solicitud de constancia salarial"",sofia.vargas"
"37,2025-01-15,""Bloqueo de usuario"",juan.perez"
"38,2025-01-15,""Revisión de impuestos"",maria.lopez"
"39,2025-01-15,""Laptop reinicia sola"",ana.silva"
"40,2025-01-15,""Alta de empleado nuevo"",carlos.mendez"
"41,2025-01-16,""Error en el sistema contable"",luis.garcia"
"42,2025-01-16,""Beneficios de seguro médico"",sofia.vargas"
"43,2025-01-16,""Cables dañados en estación de trabajo"",juan.perez"
"44,2025-01-16,""Solicitud de cambio de horario"",maria.lopez"
"45,2025-01-16,""Problema con pago de viáticos"",ana.silva"
"46,2025-01-16,""Solicitud de vacaciones"",carlos.mendez"
"47,2025-01-16,""Error al cargar comprobantes"",luis.garcia"
"48,2025-01-16,""Falla en sistema de nómina"",sofia.vargas"
"49,2025-01-16,""Revisar mi cuenta de gastos"",juan.perez"
"50,2025-01-16,""Error de servidor en módulo financiero"",maria.lopez"
